host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
madame-rouge.net,617e06a1-5a8e-4e7e-83fc-0678e7f3b50e,マダムルージュ 旧マダムリライフ,a8c87bd8-ef8c-4733-a40a-725f72a493e2,https://madame-rouge.net/profile/30366,http_error,500,0,,HTTP 500 https://madame-rouge.net/profile/30366
madame.rlf.jp,617e06a1-5a8e-4e7e-83fc-0678e7f3b50e,マダムルージュ 旧マダムリライフ,e3cb12b7-29f3-4ce3-8ae5-9198965114e4,http://madame.rlf.jp/pc/profile.php?cast_id=8307,fetch_error,,0,,fetch failed
madamerlf.com,617e06a1-5a8e-4e7e-83fc-0678e7f3b50e,マダムルージュ 旧マダムリライフ,8fc556e2-2af7-4683-9650-d0681de02601,https://madamerlf.com/profile/27639,http_error,500,0,,HTTP 500 https://madamerlf.com/profile/27639
madamsecret-esthe.com,5e60b9cc-623b-4d82-8080-2b766aa98225,マダムの秘密,9d562d21-7fbe-445f-b89e-301363488fc0,https://madamsecret-esthe.com/profile.php?sid=230,ok,200,0,[],
mandalas.men-este.com,a7f0913b-aaf1-4769-a18f-95c513da2e30,マンダラズ,ebb950e9-cdcc-41cd-8190-d7a89607708d,https://mandalas.men-este.com/profile.html?sid=26,ok,200,0,[],
mandarin-spa.net,9fe633a0-644e-4706-9df1-b17115a17e8d,マンダリンスパ 神楽坂,0f19f98a-5a50-4307-81fd-50da79523864,https://mandarin-spa.net/profile/?id=20,fetch_error,,0,,fetch failed
mariaelena.jp,331a3efb-1ff6-4771-8256-043a7c8ca9b3,マリアエレーナ,73150b07-b4ec-4694-935d-613888d3c4e7,https://mariaelena.jp/list/profile/?uid=6,ok,200,0,[],
marispa.jp,a5bcbf4e-882a-44d1-8449-86e26d069177,マリスパ,2a38384a-f82d-47e4-80a6-e58721fd3c24,https://marispa.jp/list/profile/?uid=2,http_error,404,0,,HTTP 404 https://marispa.jp/list/profile/?uid=2
masera-spa.com,3548aa4b-a036-4396-b362-8e69c756cd75,マセラスパ,4c44e19b-bb0c-499b-baaf-6f83704ef285,https://masera-spa.com/profile?id=16,ok,200,0,[],
massage-aqua.net,42ba21fc-6639-4bbd-be3c-c197c92f1d97,ラグジュアリースパ アクア,c06590bd-3ea7-42f0-9034-e74dd023709b,https://massage-aqua.net/item_10012928.html,fetch_error,,0,,fetch failed
matom.net,932eb058-08ed-41ab-9cd6-7e11a2445c4e,グランマトム 旧マトム,01f8d50f-eaca-439b-822b-f979ebd1fdba,http://matom.net/cast/detail.cgi?status=269,ok,200,0,[],
me-kawaii.com,25ea70b5-40eb-4621-8213-d53a71a75550,プラチナ 栃木,cddd2404-77e9-4549-8229-af6b608c6041,https://me-kawaii.com/lady_detail.php?lady_num=131661,fetch_error,,0,,fetch failed
